CLASS,DATE,TIME,FRAME,MINOR DIAMETER,MAJOR DIAMETER,ASPECT RATIO,BOUNDING RECT WIDTH,BOUNDING RECT HEIGHT,BOUNDING RECT DIAGONAL,PERIMETER,CONVEX HULL PERIMETER,HOLES' PERIMETER,MAX FERET DIAMETER,EQUIVALENT ELLIPSE MAJOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS (FERET),EQUIVALENT RECT LONG SIDE,EQUIVALENT RECT SHORT SIDE,EQUIVALENT RECT DIAGONAL,EQUIVALENT RECT SHORT SIDE (FERET),AVERAGE HORIZ. SEGMENT LENGTH,AVERAGE VERT. SEGMENT LENGTH,HYDRAULIC RADIUS,WADDEL DISK DIAMETER,AREA,HOLES' AREA,PARTICLE & HOLES' AREA,CONVEX HULL AREA,IMAGE AREA,NUMBER OF HOLES,NUMBER OF HORIZ. SEGMENTS,NUMBER OF VERT. SEGMENTS,ORIENTATION,MAX FERET DIAMETER ORIENTATION,% AREA/IMAGE AREA,% AREA/(PARTICLE & HOLES' AREA),RATIO OF EQUIVALENT ELLIPSE AXES,RATIO OF EQUIVALENT RECT SIDES,ELONGATION FACTOR,COMPACTNESS FACTOR,HEYWOOD CIRCULARITY FACTOR,TYPE FACTOR,CIRCULARITY,SPHERICITY,CONVEXITY,,
All Particles,10/13/20,10:02:20,1320,786.32,889.45,1.13,869.74,799.03,1181.06,2637.27,2634.53,0.00,883.23,889.45,786.32,808.00,659.32,659.32,932.42,634.60,6462.35,6462.35,208.28,836.30,549300.00,0.00,549300.00,560500.00,230400000.00,0.00,85.00,85.00,134.34,149.37,0.24,100.00,1.13,1.00,1.39,0.76,1.00,0.99,1.00,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:20,1323,773.56,916.29,1.18,872.33,809.81,1190.27,2663.87,2654.46,0.00,898.11,916.29,773.56,806.10,665.97,665.97,941.82,633.11,6627.38,6473.26,208.98,841.91,556700.00,0.00,556700.00,568600.00,230400000.00,0.00,84.00,86.00,31.05,37.76,0.24,100.00,1.18,1.00,1.42,0.79,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:20,1327,709.67,828.35,1.17,804.48,756.24,1104.13,2423.10,2414.35,0.00,814.92,828.35,709.67,737.69,605.77,605.77,856.69,579.38,6075.00,5996.10,190.54,766.72,461700.00,0.00,461700.00,472150.00,230400000.00,0.00,76.00,77.00,42.55,60.60,0.20,100.00,1.17,1.00,1.41,0.79,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:20,1329,744.87,885.09,1.19,855.60,799.03,1170.68,2569.80,2554.41,0.00,859.13,885.09,744.87,783.10,642.45,642.45,908.56,615.04,6314.63,6314.63,201.49,811.96,517800.00,0.00,517800.00,528400.00,230400000.00,0.00,82.00,82.00,130.03,129.81,0.22,100.00,1.19,1.00,1.40,0.79,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1331,758.94,884.97,1.17,840.00,800.00,1160.00,2589.82,2567.09,0.00,851.59,884.97,758.94,804.16,647.45,647.45,915.64,631.59,6279.76,6593.75,203.68,819.53,527500.00,0.00,527500.00,537850.00,230400000.00,0.00,84.00,80.00,90.52,80.54,0.23,100.00,1.17,1.00,1.35,0.78,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1332,723.54,822.85,1.14,773.69,764.04,1087.36,2434.07,2426.43,0.00,805.29,822.85,723.54,755.76,608.52,608.52,860.57,593.57,5994.87,6072.73,192.11,771.60,467600.00,0.00,467600.00,478000.00,230400000.00,0.00,78.00,77.00,56.54,61.84,0.20,100.00,1.14,1.00,1.36,0.78,1.00,1.00,1.00,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1332,715.03,862.74,1.21,803.39,765.83,1109.92,2489.19,2474.78,0.00,824.20,862.74,715.03,762.76,622.30,622.30,880.06,599.07,6132.91,6292.21,194.64,785.42,484500.00,0.00,484500.00,493750.00,230400000.00,0.00,79.00,77.00,107.73,144.38,0.21,100.00,1.21,1.00,1.38,0.80,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1333,758.78,921.23,1.21,883.88,791.96,1186.78,2651.26,2643.16,0.00,899.44,921.23,758.78,793.93,662.81,662.81,937.36,623.55,6168.54,6695.12,207.07,836.07,549000.00,0.00,549000.00,560850.00,230400000.00,0.00,89.00,82.00,66.04,81.69,0.24,100.00,1.21,1.00,1.44,0.75,1.01,0.99,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1333,739.05,865.37,1.17,812.03,798.14,1138.61,2528.01,2514.43,0.00,830.24,865.37,739.05,787.57,632.00,632.00,893.79,618.56,6125.61,6201.23,198.69,799.72,502300.00,0.00,502300.00,513550.00,230400000.00,0.00,82.00,81.00,100.25,80.99,0.22,100.00,1.17,1.00,1.34,0.76,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1333,766.83,919.70,1.20,847.92,823.32,1181.87,2660.04,2636.40,0.00,878.46,919.70,766.83,820.21,665.01,665.01,940.47,644.19,6440.70,6516.47,208.23,839.79,553900.00,0.00,553900.00,565900.00,230400000.00,0.00,86.00,85.00,136.84,157.23,0.24,100.00,1.20,1.00,1.36,0.77,1.01,1.00,0.99,0.98,0.98,0.00,0.00
